iter	Passed	Remaining
841	2214	415
842	2215	412
843	2216	409
844	2218	406
845	2220	404
846	2222	401
847	2224	398
848	2226	395
849	2228	393
850	2229	390
851	2230	387
852	2232	384
853	2234	382
854	2236	379
855	2240	376
856	2242	374
857	2244	371
858	2245	368
859	2247	365
860	2251	363
861	2253	360
862	2256	358
863	2259	355
864	2261	352
865	2262	350
866	2265	347
867	2267	344
868	2268	341
869	2270	339
870	2272	336
871	2273	333
872	2274	330
873	2276	328
874	2291	327
875	2293	324
876	2296	322
877	2298	319
878	2301	316
879	2304	314
880	2308	311
881	2311	309
882	2314	306
883	2317	304
884	2321	301
885	2323	298
886	2326	296
887	2329	293
888	2332	291
889	2335	288
890	2337	285
891	2339	283
892	2341	280
893	2343	277
894	2348	275
895	2351	272
896	2353	270
897	2355	267
898	2360	265
899	2365	262
900	2367	260
901	2371	257
902	2374	255
903	2376	252
904	2379	249
905	2381	247
906	2382	244
907	2384	241
908	2385	238
909	2387	236
910	2389	233
911	2391	230
912	2394	228
913	2396	225
914	2397	222
915	2399	220
916	2400	217
917	2419	216
918	2420	213
919	2422	210
920	2426	208
921	2436	206
922	2438	203
923	2442	200
924	2444	198
925	2446	195
926	2449	192
927	2451	190
928	2454	187
929	2455	184
930	2457	182
931	2460	179
932	2463	176
933	2466	174
934	2468	171
935	2470	168
936	2472	166
937	2474	163
938	2475	160
939	2478	158
940	2480	155
941	2484	152
942	2486	150
943	2488	147
944	2490	144
945	2492	142
946	2494	139
947	2496	136
948	2498	134
949	2500	131
950	2502	128
951	2504	126
952	2506	123
953	2508	120
954	2510	118
955	2513	115
956	2516	113
957	2517	110
958	2519	107
959	2521	105
960	2522	102
961	2524	99
962	2526	97
963	2530	94
964	2536	91
965	2542	89
966	2550	87
967	2553	84
968	2556	81
969	2561	79
970	2564	76
971	2566	73
972	2568	71
973	2570	68
974	2574	66
975	2577	63
976	2579	60
977	2580	58
978	2583	55
979	2587	52
980	2591	50
981	2592	47
982	2594	44
983	2596	42
984	2597	39
985	2599	36
986	2600	34
987	2604	31
988	2606	28
989	2608	26
990	2610	23
991	2612	21
992	2616	18
993	2622	15
994	2625	13
995	2627	10
996	2630	7
997	2633	5
998	2635	2
999	2637	0
